question,filtered_answer
원더윅스 원더윅스 다들 어떻게 보내시나요..,그냥 그러려니 빨리 지나가길 기다리는 수밖에는 없는 거 같아요
"모유양이 안늘어나기도 하나요?? 혹시 저처럼 모유양 적으신분 계신가요??
양이 적으니까 애기가 직수를 거부해서
그때부터 유축만하고 있는데
꾸준히 하는데도 양이 잘 안늘어나네요😳
낼 모레 조리원 퇴소인데
조리원 선생님들은 그래도 이렇게라도 엄마 모유 먹으니까 유축은 꾸준히 하라고 하시는데
혹시 저처럼 양 계속 적다가 늘어난분 계신가요??",모유양이 적어도 직수를 계속 자주 하면 늘어요. 아이가 직수를 거부하더라도 유축으로만 늘리는 것이 중요합니다. 혹시 양이 계속 적다가 늘어난 분들도 있습니다.
"유니클로 바디수트 사이즈 조언 부탁드려여ㅠㅠ 4/30에 태어난 아가에요!
지금은 4.1 키로 정도 되는데
지금 유니클로에서 바디수트 세일중이라 구매해놓으려하는데
60,70,80중에 뭘로 사야할지 모르겤ㅅ어요ㅠㅠ
당장은 60을 입고있긴 한데 얼마 못입을 것 같아서ㅠ
그냥 7,80으로 사는게 나을까요?
반팔/민소매 중엔 뭐로 사는게 나을지
사이즈/소재 등등 조언좀 부탁드립니다
애기옷 사이즈 너무 어려워여... ㅠㅠㅠㅠ","70,80 겨드랑이 덥지않게 나시위주로 사시면좋지않을까요! 나시랑 반팔 적절히 섞어서 좋은 소비했어영 감사핮니다 🍒🍒"
"아기 범퍼침대 어떤가요...? 아기 침대를 바꿔주려고 고민중인데
원래는 쿠시노생각하다가
범퍼침대가 더 좋아보여서요~
근데 범퍼침대가 가드높이나 크기때문에 오래 못쓴다고 하더라구요~
5~6세까지는 쓸 생각인데
침대가드가 높고 크기가 큰 범퍼침대면 5~6세까지 사용 가능할까요~?
아니면 제가 모르는 범퍼침대 단점이 더있을까요~?",애바애이긴 한데 가드 높고 사이즈 크면 충분히 오래 쓸 수 있어요. 꿈비 하이가드 범퍼 쓰는데 세 돌 다 돼가는데 쓰고 있고 두돌 지나고는 아래는 열어두고 토퍼 두꺼운 거 두 개 깔아서 그냥 침대처럼 쓰고 있어요~ 전 오래 쓰려구용!
아기 언제부터 외출했나요? 궁금해요,한 30일부터 계속 한것 같아용
"오늘숙제 오전에 다끝냈어요 ㅋㅋㅋㅋ이유식공장 오늘 숙제였던 이유식큐브 오전에 다 끝냈어요 ㅋㅋㅋㅋ
닭고기,아보카도,부추,버섯,파프리카 큐브예요~
이제 주말을 즐겨야겠어요~",와 정말 고생하셨어요 즐거운 주말 보내세요
계단 오르기 몇개월부터 하나요? 아기들 계단 올라가는거 몇개월부터 하나요?,10개월부터 걸었어서 돌즈음 계단 걷기시작했어요
"아기 다리 왜이럴까요ㅠ 비판텐 발라줘도 될까요 아침낮잠 자고일어났는데 갑자기 다리가 이렇게 됐어요
ㅠ 한 두달전쯤?에도 비슷한 자국이 몇개 있었는데 이정도로 심하진 않아서 손으로 할퀴었나보다 했거든요..
근데 이번에는 부위도 넓고 더 심하네요ㅠㅠ
뭐에 눌린거같은 상처인데 어른 옷이나 머미쿨쿨에는 저렇게 될만한건 안보여서 답답하네요
몸 다른 부위는 멀쩡합니다... 일단 비판텐 발라줘도 될까요?ㅠㅠ",시어머님이 아가 어부바하신다고 포대기로 아기다리에 압박줬을때 멍 비슷하게 저런 모양으로 난적이 있어요 시간 지나면 없어져요! 잠깼을때 너무울어서 신랑이 계속 안고있었는데 그래서 그런걸까요... 저번 자국은 엄청 오래가더라구요 엄청 오래요? 다음날 거의 사라져있어서 따로 뭘 한건 없었는데 엄청 오래 간거면 다른 양상일까요..? 사진상으론 거의 비
출첵합니다. 오늘도 육아팅합시다!!!,오늘 하루도 고생하세요💛
"7개월아기 배밀이를 아직못해요 ㅜㅜ 뒤집고 팔만 날개짓하듯이 펼치기만하고
배밀이는 못해요
유튜브에 나와잇는 연습하기도 안통하고
날개짓하듯이 펴거나
터미타임자세로 팔을 바닥에두고 상체를 쭈욱 들어올리는 행동만하는데 그냥 둬도 알아서 할까요 ? ㅜㅜ
자기듀 배밀이가 안되니까 울때도 있어요 ㅜㅜ",배밀이는 굳이 안하고 넘어가도 괜찮습니다. 팔을 뻗어 지지하면 네발자게 연습 시켜주시면 좋을거같네용.
"드시모네 베이비스텝2 비타민 질문이예여! 혹시 베이비스텝2 먹이시는 분들 비타민D 따로 챙겨주시나요??
필요량이 600IU 인데 드시모네는 400IU 함유라고 해서요 ㅠㅠ
과다 복용하면 또 안좋다고해서 어떻게들 먹이시는지 궁금해용 ㅠ","먹여도 되요 저 베이비 스텝 먹이는데 한시간 뒤에 먹여요
아 닥터썬데이 제품있는데 그 제품도 400IU니까 한시간뒤에 먹여봐야겠네요 !! 답변 감사합니다"
"어린이집 어디다니세요 아파트단지안에는 민간어린이집이고요
걸어서 7분거리에 국공립어린이집이 있어요
둘다 대기 없어서 내년에 바로 가능해요
무조건 가까운게 최고일까요?
국공립으로 보낼까요?",'가까운게 최고요! 그쵸 ㅎㅎ 아무래도 걸어서 다녀야되서 비나 눈이 오면 걱정되긴하더라고요 저희동네가 또 5살되면 유치원으로 많이 보내더라고요'
"부모급여 해외체류 문의드려요~! 22년 11월 생이라 24년 10월까지 부모급여가 나올 예정이에요.
현재 사정상 해외에 출국해서 이런저런 일들을 알아보는 중입니다. (아마 길어질것같기도하구요 ㅠㅠ)
3/25 출국했고, 6/22가 90일 되는 날이고, 6/19일쯤 입국해서 일주일 정도 있다가 다시 출국해야하는 상황입니다.
6/19에 입국하면 부모급여+아동수당 지급이 90일 연장된다는 것 까지는 알겠는데
사회보장제도 ""정지"" 말고 ""중지""에 >> 최근 6개월간 통산 90일 초과 해외체류 <<가 있더라구요
그럼 90일 뒤에는 정지가 아닌 중지가 되어 못받는 걸ㄲㅏ요?
요약하자면..^^;;
해외에서 90일마다 한국 왔다갔다 하시는 맘님들 중에
2번이상 연장되신 분이 있으신지~를 여쭤보는거에요.
귀한 시간 들여 제글을 읽어주시고 댓글 남겨 주셔서 감사합니다!","지급정지는 출국일자 확인해서 청 담당자가 지급만 안하는거고, 입국 확인되면 다시 청 담당자가 지급하는 거예요. 아동수당 부모급여처럼요. 돈이 안나와도 재신청 필요 없이 입국일자 확인되면 나라에서 알아서 주는거라 재신청은 필요없지만 전산으로 출입국 확인 안되는 아동들은 증명서 제출해야하구요. 참고로 말씀하신 그 보장중지는 보육료(어린이집 해외체류 90일이상), 유아학비(유치원 해"
"라라스 진짜 꿀템이네요 ㅋㅋ 오늘로 38일된 둘째 첨으로 라라스에 눕혀서
재웠더니 수유한지 4시간 반 지나도록
안 깨고 있어요👍
30일 지나면 안 깨워 먹여도 된대서 기다리고
있는데 얼마나 잘까 궁금하기도 하고
신기하기도 하고 그렇네요 ㅎㅎ",라라스없는 밤은 상상하기도 싫어요 등대고못자고 옆으로는 잘자는데 이유가뭘까요 라라스쵝오! 처도 첨 눕혔을때 낮잠 2시간 넘게 자서 놀랬어여 신생아시절지금 100일지났는데 잘 쓰고있어요
100일아기 집온도 몇도로 하세요? 다들 몇도로 햐시나요??,22-23도요 저도 22-23도로 하고있어요
"곧 문센 처음 나가요~♡ 곧 처음으로 문센 가요~
아기는 처음으로 가는데요
뭔가 설레고 긴장돼요^^
처음 문센 가셨을 때 다들 어떠셨나요??♡",아기가 울지 않기를 바라고 있어요. 처음 문센 가시는데 힘들 것 같아서요.
"10개월 아기 자꾸 성기를 만져요.. 남아이구요!
며칠전부터 씻기고 몸 닦아주고 머리 말려줄때 성기부분을 유심히 보더니 손으로 자꾸 만져요 ㅠ
기저귀 갈아줄때도 손으로 만지려고 하고, 기저귀 채운 후에도 기저귀를 만지작거려요..
못하게 하면 더 장난으로 받아들일까봐 주의돌려주려고 하고 있는데 어떠케 해주는게 좋을까요 ㅠㅠ","유아자위 오은영 이라고 유튜브에 검색해보세요 불안을 느끼거나 자극이 부족하면 일어나는 일이래요
바로 찾아봐야겠어요! 감사합니다!
자기 몸 탐색하는거에요\n다른 걸로 놀이할수잇게 도와주심 되요\n걱정할 일이아녜요
걱정할일이 아니라니 조금은 안심이 되네요!
저희 아기도 8개월때부터 만지더라구요 기저귀 차고 잇음 안그러는데 기저귀 벗기면 손이 자동"
"23,24 연년생이신 맘님들 계세요..? 23년 6월생
24년 10월 예정...
23,24 연년생 맘님들 계세요..?
아 연년생 너무 힘들다해서 걱정입니다ㅠㅠ
거기다가 형제맘 확정이요 ㅎㄷㄷ!!!!!
딸맘 넘 부러워요🥲❤️❤️",['23년 3월\n24년 8월\n아들 딸 남매맘인데\n저는 형제를 바랬어요\n연년생 남매가 최고힘들다고 하더라규요\n남매가 더 힘든가요...?? 그치만 딸 없는 엄마는 넘 서럽네요\n형제는 서열만 잡혀도 괜찮은데\n남매는 커갈수록 적이고 성향도 달라서\n위에 누나 남동생이면 그나마 괜찮은데\n오빠 여동생이면 성인될때까지\n전
"모유수유 그만해야 할까요..ㅜㅜ 100일된아기 몸무게가 5.3kg이에요
출생시 2.56이었구요ㅜㅜ
근데 배앓이도 너무 심했고 병원에 입원하면서
피검사했는데 철분수치가 낮아서 빈혈이 있다네요ㅜ
첫째 완모해서 둘째도 오랫동안 먹이고 싶었는데
제욕심일까요ㅜㅜ",몸무게 늘어난걸로 봐선 괜찮아보이는데요. 철분 낮은건 철분제 먹이면 될것같아요. 다른아기들에 비해 적게나가서 조급한 맘이 들었는데 감사해요. 저희 둘째도 2.6으로 태어나서 100일에 5.3이었어요 전 완분이었는데도 그래요. 돌지나고 지금도 평균보다 적게 나가긴하지만 영유아검진 가도 잘 크고있다고 걱정말라 하셨어요. 저도 몸무
"11개월 아기 기관지염 저희 아기도 그렇고 요즘 주변 아가들 기관지염 많이 걸리네요!!
11개월 다 돼 가는데 첨으로 이렇게 열 나고 아파봤네요ㅠㅠ
가래기침 심하게 하는데 너무 안쓰러워서ㅠㅠ
그래도 이제는 많이 좋아져서 다행이에요!",11개월 아기 기관지염으로 고생하셨네요. 다행히 좋아지셔서 다행입니다. 열은 이틀 동안 났다고 하셨군요. 따뜻하게 관리하면서 조금씩 나아지시길 바랍니다.
4개월 아기 태열? 땀띠? 아기 여드름? 4개월 아기예요 이마에 이렇게 여드름처럼 보이는게 있는데 몰까요? 더워서 그런가요? 얼굴에 전반적으로 있는데 침독일까요? 어떻게 없앨수 있을까요??,태열이에요 수분보습 수시로해주셔야해요 클리리케로션이랑 란시노크림조합으로 발라주니 좋아지더라고요
"23년 12월생 아가랑 24년 1월생 아가들 서로 호칭 어떻게하세요? ㅠㅠ ㅋㅋㅋ 둘이 한달차이인데 태어난 해는 다르다보니....
저희 애가 12월생인데 24년 1월생 아가들한테 오빠 형아라고 부르라도 하기가 민망하네요 ㅠㅠ ㅋㅋㅋㅋ",연도가 다르니 그냥 오빠 형으로 하실 수 있을 것 같아요.
"직장 어린이집 다니는데 애들을 때려요 18개월 아기인데 직장어린이집 다녀요
근데 친구들 가만히 있는데 맨날 손찌검하고
때리고 그래요...왜이럴까요 진짜
직장어린이 집이라 더 민망하고 그러네요 휴..
진짜 쎄게도 말해보고 차분하게도 말해보고 별 거 다해봤는데 괜찮아 진거 같더니만 요즘 다시 그러네요
너무 힘듭니다ㅠㅠ",집에서도 그러나요? 네 집에서도 엄마아빠 때릴랴고해요.. 일단 어리니까 충분히 좋아질수 있구요 정말 단호하게 훈육해주셔야해요. 네 단호한게 가장 중요한거죠ㅠㅠ. 집에서도 그러는건지.. 스트레스 받는가본대요. 아침에 등원 시킬때 통합반때 담임선생님 당직이 아니여서 이번주에 좀 울긴햇거든요 그거때문일까요? 그런걸 해소 시켜줘야할
"이거 땀띠인가요 엉덩이쪽만 이러네요ㅜㅜ
땀이안나도 땀띠가 생기나요",땀띠네요수딩젤이랑란시노크림발라보세요땀띠 맞아요
아기 썬크림 제거용 리무버 어떤거 사용하시나요?? 리무버 추천부탁드립니다,패드랑 워터로 세안시키고 로션이랑 hpa크림 섞어서 마무리해요. 감사합니다.
"23년생 맘들 친해져요~~ ^^
어린이집은 보내실까요~~??","8개월때부터 다니고있어요 반가워요 딸맘입니다
반갑습니다 전 내년 새학기 대기걸었어요
16갤 되가는데 아직 안보내요 내년에 보내자 해서요 ㅠㅠㅎ"
"육아로 인한 퇴사 실업급여가 가능할까요? 안녕하세요 23년7월생 아가 육아중인 맘입니다😊
어린이집 연장반 교사로 2시부터 7시까지 근무하다가
임신 후 출산휴가 육아휴직까지 다 사용하고
7월에 복직 예정입니다!
아기는 5월에 제가 다니는 어린이집 입소한 상태이고,
현재는 9시 반 등원, 3시에 하원하고 있는데
복직하게 되면 등원시간은 같고
저랑 같이 7시에 하원하게 될 것 같아요
하루종일 어린이집에 있기에는 아기가 어리기도 하고
양가도움을 전혀 받을 수 없는 상황이라
퇴사를 고려하고 있는데 육아로 인한 실업급여를
신청 가능한 상황인지 궁금하네요…!","출휴 육휴 다 쓰신거면 회사는 육아를 위해 지원하고 있는걸로 판단하기땜에 실업급여수급불가요, 육아로인한퇴사 실업급여는 회사에서 육휴출휴 등 사용에 대한 어려움이 있을 때 지급됩니다"
"애기한테 너무 버럭 하는거 같아요 14개월 아기 엄청 활발하고 사람도 좋아해요
문센가면 다른아기 엄마도 당연히? 자기만 좋아한다 생각하고 말도 많고 애교도 많아요
물론 저는 제 자식이니까 마냥 이쁜데 욕 듣는게 싫어
밖에선 엄격하게 하려고 하거든요 ㅠ 근데 저도 모르게 안돼!!! 안된다했어 하며
버럭하는거 같아서 애한테도 미안하고 그렇네요..
낮에는 육아에 치여서 잡 생각이 안나는데 이상하게 육퇴하고 조용하게 누우면 미안한 감정이 물 밀듯이 나서
괴로울까요 ㅠㅠㅠㅠㅠ",['안전과 관련된 부분에서는 엄격하게 안된다는걸 말해줄 필요가 있다고 봅니다. 일관적인 태도도 중요하고요. 버럭 화내기 보다는 그냥 명료하게 “안돼” 정도도 괜찮은거 같아요. 왜냐면.. 나중에 더 크면 진짜 열받을 정도로 말을 안듣거든요. 그때를 대비해서 에너지를 모아두세요.']
"오므론 네블라이저요~ 설명서는 1분이라 나와있는데 그 이상 쭉쭉 나오는데 끝날때 까지 하면 되나오?
그리고ㅠㅠ 애기라서 잘때 코,입쪽에 대주는데ㅠㅠ
그 김이 눈쪽까지 올라가는데 괜찮나요?",아하~ 감사합니다!
"15개월 아기, 언어발달 어떤가요?? 유튜브 보다가.. 갑자기 급 초조해지네요..ㅡㅡ;;
먼저 할줄아는말은..
엄마 아빠 멍멍 음메 꿀꿀 어흥 이게머야?(젤 많이 하는말) (먹기싫을때)안먹~ 아니야(아주가끔) 빠빵(따라하는말) 이정도에요..
할줄아는 행동은..
박수 만세 잼잼 곤지곤지 주세요
물고기 흉내, 복어 흉내, (싫을때)도리도리
반짝반짝,안녕등등
기저귀 가져와~ 하면 가져오기도해요.
머리,발,손,눈,귀,강아지,자동차,아빠,시계,쇼파,미끄럼등 어딨어? 물으면..
손으로 다 가르킬줄 알아요.
이정도면 어떤건가요??
평소에 책보는걸 좋아하는데..유튜브에서 책좋아하던 아기가 자폐였다는걸 보니 급 불안해지네요ㅠ
책 말고도 다른장난감가지고도 잘 놀긴합니다.
잘 웃기도 하고요.",['와...잘하네요 저희애기도 15개월인데 엄마 아빠 맘마 안냐(아니야) 음메 어으(어흥) 에지지 머(멍멍) 이정도해요ㅠㅠ다른말은 아무리 알려줘도 인하는건지 못하는건지 하기싫은지....안하드라구요ㅠㅠ 문닫자 / 기저귀갈자~(기저귀들고 눕기) / 정리하자 이런건 다알아듣고 강아지 호랑이 소 야옹이 붕붕이 말하면 관련 장난
"에이블 트라이크 쓰시는 분들 코지 프리미엄과 코지 샤인중에 어떤거 사용하고 계신가요?
어떤 장점이 있어서 구매하셨는지 궁금하고
발판 길이가 짧아서 아기 다리 튀어나오진 않는지,
불편해 보이지 않는지 궁금해요~","에이블 트라이크 쓰시는 분들 중에는 코지 샤인을 사용하고 계신 분들이 있습니다. 발판 길이가 짧아서 아기 다리가 튀어나오지 않고, 발 받침이 조절되어 불편해 보이지 않는다고 합니다. 개방감이 좋아 유모차를 거부하는 아이도 잘 타고, 의자로 사용하기도 편리하다고 합니다."
"유모차 지금 100일아가인데, 제가 밖순이라 많이 다녀서 휴대요유모차를 벌써 샀어요. 기존 디럭스는 바깥용, 휴대용은 집안에서 쓰려구요.
휴대용 앉혀보니 기울기가 140도? 밖에 안되서 좀 불안정한 느낌이구 통통라이너 깔아도 편해보이지 않구요.
다른방법이 있을까요?",앉히는건 6개월부터 못앉는 시기에 억지로 앉혀두면 척추에 안좋다고 봤어요ㅠㅠ
"자서 눕혀놓으면 깨는 아기...ㅠ 안녕하세요
화요일에 조리원퇴소한 초보맘이예요
아기가 푹자는거 같아서 침대에 내려두면 귀신같이깨요..
벌써 등센서가 생긴걸까요...?
그리고 조리원에서 80씩 먹던아기가 집에서는 많이먹어야 60먹어요
시간이 지나면 괜찮아질까요?ㅠㅠ",아기들마다 다르겠지만 어느정도 시간이 지나고나면 서서히 등데고 자는 연습 시켜주심되요.
241일 서는 아가 매일 다쳐요.. 밀착육아 하는데 지금 서기 지옥중이라 책장에 박아서 이마가 빨간데 멍들꺼 같아요... 아 진짜 매일 하루에 한 번씩은 꼭 쿵하고 진짜 스스로한테 속상하고 짜증나고 화나요. 저번에도 글 올렸는데 ㅜㅜ 오늘 또 다쳤네요 ㅠㅜㅜ 후...,전 책장. 냉장고. 문. 벽면에도 다 모서리가드 긴거 붙여놨어요. 바닥에도 다 매트깔고요.
"9개월 아기 시댁할머니댁 시골 데려가면 힘들겠죠??? 9개월 아기.
분유에 이유식 먹이고
하루종일 잡고 서고 앉질못해서
제가 다시 눕히고 잡고 서고 반복
치대고 지금 개월수가 젤 힘든듯요ㅜㅜ
근데 시댁증조할머니가
애기 보고 싶다고.. 오라는데
겸사겸사 남편보고 매실밭 가서
매실 따오라 하고 매실밭가면
저 혼자 첫째 6살
둘째 9개월
안가는게 낫겠죠???",6살 첫째를 매실따기 체험학습으로 아빠랑 같이 밭으로 가는건 어떨까요? 저도..쁘띠ㅁ 말씀추천이요... 너무힘드실거같아요 아이두명 ㅠㅠ
아기 며칠부터 산책하셨어요?? 100일은 지나야할까요?? 날씨가 넘 좋아요,"['맘님 마음이시긴하나보통은 100일지나야 좋다고는해요',
'30일지나고 바로 나갔습니다 여름아기라 가능했었던것 같아요']"
"휴대용유모차 뭐가좋아요?? 부가부?
쥴즈??
뭐가좋은건가용???
매장언니가 쥴즈가좋다해서 사려고했는데
맘카페보니가 부가부 가좋다고해서 고민..","아기가 잘 타는게 좋은거에요 남들이 부가부 줄즈 탄다고 내 아기가 잘 타주는게 아니거든요 저도 여러 후보들 정해두고 매장가서 태워보는데 아기가 줄즈만 타길래 줄즈사왔네요^^;;;
아!태워봐도되는군요 감사해요
부가부 없는 매장 많더라고요 그래서 백화점가서 태워보고 버플로 했어요 아무래도 각도조절이나 장바구니 큰 거랑 디자인이 개취라 아기 한 번 태"
"인간극장 아빠는 살림왕 보고나서 육아에 대한 생각 아이가 티비를 보는거 같아서 티비를 잘 안보다가 우연히 인간극장을 보게 되었는데요
아이를 2명 입양하셔서 키우시는데 대단해보이시더라구요
낳아서 키운 정도 크다지만 육아를 하다보니 아이 한명 키우는 정도 크다고 느껴지더라구요
잠도 못자고 못먹고 못 쉬고 매일 반복되는 일상들을 다 견디고 결코 쉽다고 말 할 수없는거 같습니다.
오후도 육아 화이팅 입니다.^^",아저씨가 살림왕인거 떠나서 인성과 성품을 본받고 싶더라구요 화목한 가정이란 저런거구나 싶어용
"산책 자주 하시나요?? 산책을 너무 사랑하는 맘인데
꽃가루 미세먼지 이제는 더위 때문에 잘 나가지 못하고 있네요 ㅜㅜㅜ
90일 아기 다들 산책 자주 하시나요???",['애기 50일쯤 지나서부터 자주 산책 나갔어요ㅋㅋㅋ\n집에만 있으면 제가 답답해서\n비오거나 공기가 탁하거나\n너무 춥다거나 너무 더운거 아닌이상 얼집 다니기전까진 맨날 나간듯해요ㅋㅋㅋ\n지금은 15개월이고 얼집 쉬는날 주말에 늘나가요ㅋㅋㅋㅋ윰차산책\n애기도 나가는걸 좋아해요ㅋㅋㅋ']
"7개월 이계인소리 내면서 용쓰는데 괜찮을까요 이제 조만간 7개월인데
갑자기 요새 으~~~~으~~목긁는소리 이계인소리라
해야하나 그러면서 온몸레 힘주면서 용쓰고 그러는데
괜찮은건가요ㅠㅠ 특히 이유식 먹일때랑
잠와할때 그러는거같은데ㅠㅠ
그러면서 기침도하고 투레질도하고 돌고래소리도내고
옹알이를 이런거 밖에 안해서 괜찮은건지ㅜㅜㅜ
크면클수록 걱정이많네요ㅠ",['아하 그럴수도있겠네요ㅠㅠㅎㅎㅎㅎ\n아기 언어 너무 어렵슴돠ㅠㅠㅋㅋㅋㅋ']
두돌이후로 가정보육하면 부모급여는 없나요? 아동수당 10만원만 나오는건가요?,"두돌이후 가정보육시 아동수당 10만, 양육수당 10만으로 총 20만원 나와요."
"양치를 너무 너무 싫어하는 아기 아기는 지금 15개월인데, 정말 말 그대로 양치를 너무너무 싫어해요 ㅠㅠ
더 어릴때는 오히려 양치를 재밌어하는것 같기도 했는데, 어느 순간부터 엄마가 칫솔을 입에 넣는걸 싫어하더라구요.
근데 또 웃긴건.. 어린이집에선 또 그렇게 얌전하게 양치를 한다네요.?ㅋㅋㅋ
그래서 뭔가 양치하면서 통증이 있거나 해서 싫어하는건 아닌 것 같은데 뭐가 문제일까요 ㅜㅋㅋ
다들 어떻게 양치 시키세요?",저희아이도 그때쯤 양치하기 너무 싫어했는데 그래도 시간지나니까 서서히 말 잘듣고 하네요ㅋㅋㅋ 블랑키즐꺼 애플망고향이라서 그마나 거부안하는거 같기도하구요ㅎㅎ
"어린이집 대기 260명…인데.. 포기하고 다른곳 찾아야겠죠..?? 다음주에 제왕 날짜를 잡아놔서 곧 애기 태어날 예정이에요.
저희동네가 신도시라 애기들이 많은데
주위에서 태어나자마자 대기 걸라고 해서 생각나서 들어가보니 대기 260명….
아파트 단지네 민간 어린이집인데 인기가 이렇게 좋을줄은 몰랐네요 ㅠㅠ
나이당 20명 정도 정원되던데..
지금은 휴직중인데 내년 복직해서 맞벌이로 순위 올라가도 1년 3개월안에 대기 절대 안빠지겠죠..???
아파트 단지에 또 다른 가정어린이집은 10명대에요.
그냥 포기 하고 가정어린이집 문의해서 시기 맞춰 대기 걸어 두는게 나을까요 ?ㅜㅜ
또 대기가 많으니 정말 좋은 어린이집인지 궁금하긴 하네요!!ㅜㅜ",일단은 대기 걸어둘거 같아여!! 어느동네 인지 궁금해요. 애기 어리면 가정 어린이집이 훨씬 좋아요 경기도에요! 다른 아파트 단지로 가면 이정돈 아닌데.. 유독 저희 아파트 안에 있는 곳이 심하네요 ㅠ 260;;;; 50명 대기인데 돌에 걸어둔거 5살에 연락왔어요. 좋다고 해도 내 차례 안오면 좋은 어린이집 아니니 하나만 그냥 걸어두고 두개는 일단 가능
"8갤 아기 대근육 발달 너무 안돼요 250일 된 아기입니다
배밀이 네발기기 다 안 됩니다..
그리고 도와주려고 하면 안 하려고 해요
짜증만 대박 내요😔….엉덩이만 들썩 거리고
팔꿈치를 일단 내려야 뭘 앞으로 갈텐데
팔꿈치를 펴고 들썩 거리고 회전만 해요 ㅜㅜ
장난감 떡뻥 엄마손 다 동원해도 포기해버리는데
대근육발달에 문제 있는건지 병원가봐야 할지
요즘 매일 그 걱정입니다..","['저희애는 230일까지인가? 뒤집기도 안하고 누워서 모빌만 봤어요 ㅋㅋ 뒤집기 되짚기 하고 배밀이는 건너뛰고 몇주만에 바로 팔 들고 기더니, 다음날 혼자 앉더라구요. 좀 더 지켜보세요. 좀 더 지켜보셔도 될듯해요 안하고 넘어가는 경우도 있고 갑자기 하는 경우도 있고 그래서요 8개월에 배밀이랑 네발기기 둘 다 안해서 대학병원 운동센터에"
"[6개월] 아기가 혼자 놀면서 소리내서 한참 웃기도 하나요? 이제 곧 6개월이 되어가는 아기입니다.
요즘 얼굴 마주치면 빵끗빵끗 웃어주고 소리내서 옹알이도 잘해서 너무너무 귀여운 요즘인데요. 아기가 가끔 혼자 놀때 혼자서 뭐가 그리 즐거운지 소리내서 웃고 그러더라고요. 혼자서 웃는걸 몰래 훔쳐보면서 엄청 귀엽기도 하고 뭐 때문에 저렇게 웃기지 하면서 궁금하기도 한데ㅎㅎ (첫 아이라서 모든게 신기하고 새롭습니다ㅎㅎ) 혹시 저희 아이처럼 혼자서 놀다가 소리내서 웃는 아기들도 있나요?",저희 아이도 잘 그래요. 처음에는 걱정됐는데 좀 크니까 또 잘 안그러더라구요.
"아기 낮잠 어떻게 재우나요... 140일 아기 원래 누워서 잘 잤는데 요며칠 절대 안자요.....
졸릴땐 비명 지르다가 어르고 달래서 막상 잠들거같을때부턴 엉엉 울어요...
안아서재우려고도 했는데 일단 옆으로 뉘이는걸 싫어해서 엉엉 울어요... 신랑이 어쩌다 성공해도 침대에 뉘이는 순간 깨요...
더운가 해서 종일 에어컨 켜도 안되고
활동을 덜해서 그런가하고 터미타임도 열심히 시켜보지만 똑같고..
강성울음 터져버리면 세워서 안아줘야 그치는데 이자세에서는 절대 잠들질 않아요... 내려놓으면 다시 울음 터지고 몇시간동안 씨름하니 정말 우울하네요....
원래는 쪽쪽이(잘 안먹지만) 최대한 주면서 궁디 토닥토닥하면 잤었고..
최근엔 저게 안통해서 어떨땐 딸랑이 찰랑찰랑 점점 천천히 하면 잠들기도 했어요
왜 잠들거같으면 울어버릴까요...? 어떻게 재워야될까요 너무힘드네요진짜...","아기 낮잠 재우는 방법에 대한 답변을 선택해야 합니다. 다음 중에서 선택해주세요:

""낮에 아기 길게 잘 재우는 아기 빛가리개 라고 있어요. 아기 낮잠 재우거나 연장할 때 도움 많이 되실겁니다."""
"아기 양치 하루에 몇번 시키시나요? ㅇㅏ기 양치 하루에 몇번 시키시나요?
양치하기 무척 싫어하는 8개월 아기입니다ㅠ",10개월아기 양치 하루 2번 시키고있어요 아침에 일어나서 아침맘마먹고 한번 막수후 잠자기 직전에 한번이요
"9개월 아기 개인기 뭐뭐 하나요~? 첫째는 열심히 가르쳐서 짝짝꿍 곤지곤지 잼잼 도리도리
저때 다 했더라구요 ㅋㅋㅋㅋㅋ
근데 둘째는 짝짝꿍 안녕 정도
그나마 그것도 기분 좋아야 따라하고
잼잼 오지게 가르쳐도 안하네요
ㅠㅠ 훗 콧방귀 끼고 도망가요
이맘 때 쯤 아기들 개인기 자랑해주세요🥰","['7개월인데 짝짝,하이파이브, 뽀뽀, 손하트(상대방이랑 같이 만드는거) 해요 ㅋㅋㅋ제가 특이한것만 가르친거같아요']"
"5개월 원더윅스인가요 수유량이 겨우 600에서 700대
오늘이 170일이네요
새벽에 울어도 분유를 안주는데 어떻게 해야할지 모르겠어요 ㅜ
이앓이도 같이하는거같고
어제는 자면서 거의 1시간을 울었어요
카밀리아 먹였더니 진정되더라구요 .. 이거 이앓이인지ㅜ
이앓이를 몇일째하는지
밥먹일때마다 화가나 표정관리 못하겠어요
너무 치치네요 ..
저만 이때 그러냐요??",'요즘 저랑 너무 비슷하세요'
"4개월 아기 이가 났는데 구강티슈 사용해야될까요~? 아이가 일찍 아랫니 두개가 다 났어요!
구강티슈 혹은 칫솔질을 해줘야할까요...?
구강티슈를 출산전에 미리 사뒀었는데 우선 구강티슈부터
하는게 좋겠죠~? 이가 난지 벌써 며칠 됐는데 이제서야 생각난...ㅠㅠ",이가 나면 바로 칫솔치약 사용해야해요 전 고불소치약인 블랑키즐로 닦아줬는데 애플망고 향이라 그런지 아이도 잘 따라주고있어요 칫솔도 블랑키즐꺼 모가 부드러워서 잇몸닦아주기 좋고 씹어도 모빠짐이 없어요
