question,answer
9갤아기 생식기 만지네요,"아기가 자신의 생식기를 만지는 행동은 자기 발견 단계에 해당하며, 이는 아기가 자신의 몸을 탐구하고 발견하는 과정입니다. 부모는 아기에게 이것이 자연스러운 행동이라고 이해하고, 함부로 만지거나 꼬집지 않도록 주의해야 합니다."
7개월 아기 첫 문센 주 몇회,한번하고 늘리세용 아기 문센 갔다가 아파서 2주 빠졌는데 두개 다녔는데 너무 아까웠어요... 글구 한번하고 괜찮으면 다음학기에 두번하시면 되용 감사합니다 1회로 해야겠어요😊
돌잔치 예약 시기,한달전에 예약하는 게 좋을 것 같아요.
아기이름 봐주세요!!,"아들이면 유찬이 괜찮을 거 같은데 너무 오지랖 같네요. 유채는 여자아이 이름으로도 별로 같아요. 유채나물 생각나고. 웅 자 들어간다면 희웅 어떤가요? 유채는 포기해야겠어요. 조희웅 예쁜듯해요. 유채 보단 유재는 어떠세요? 조유재, 의견 감사합니다."
여름에 아기들 모자 어떤거 씌우시나요,해피프린스에서 캡모자 사서 씌우고 있어요 괜찮은거 찾아보셔요  전 해피프린스에서 보넷 종류 중에 챙이 크고 빳빳한 걸로 샀어요. 아무래도 보넷이 머리도 감싸주고 끈도 있어서 아기띠 했을 때 벗겨짐이 덜하더라구요. 여름모자는 챙 있는거 꼭 씌워야 하더라구여 아가들 넘 눈부셔해서요~ 버킷했이나 전체 챙 있는게 좋았어요
84일차,저희아기도 겹쳐요ㅎㅎㅎ
6개월 딸맘입니다.,저도 그냥 한귀로 듣고 한귀로 흘려요 머리 길으니 그런거 없어지더라구요 빨리 머리가 자라길 저는 그래서 외출할 때 핑크색 아이템을 하나씩 꼭 챙기거나 입혀요 저도 아기 6개월입니당 너무 반가워요 넘 반가워요!! 고나이땐 원래 성별 구뷴이 잘 안가요 그냥 흘려들음 돼요 그런거죠 누가봐도 상남자 아기인데도 성별 물어봐
8개월 아기 일어서느라 잠을 안자요 ㅠㅠ,'그렇게 점점 안자요 ㅋㅋ 😂 정상발달이니.. 잠에 드는 시간을 좀 더 늦추시면 입면이 그나마 빨라질지도요? 그때부터 저희 아기도 깜깜한 침대에서 한시간 놀더라고요ㅋㅋ'
뒤집기하고부터 엎드려자고 바닥에 얼굴 쓸리게 하나요? ㅠㅠ,뒤집기하고부터 엎드려자고 바닥에 얼굴 쓸리게 하나요? 뒤집기를 잘하부터 엉덩이 위로빼고 엎드려서 자요. 숨구멍 막힐까봐 깜짝놀라보면 얼굴을 옆으로 해서 숨은 잘 쉬더라구요. 그리고 얼굴을 바닥에 비벼서 눈이랑 귓등 귓볼 피부가 쓸리는데 원래 이시기에 애기들 이러나요?  선택된 답변: 넹..아주비비고 난리에요. 알
모유수유 중 자는 아기,100일 쯤이면 한쪽당 5~10분이면 충분히 양이 차도록 먹을 수 있다고 하더라구요. 150일 정도 되었을땐 한쪽당 3분이면 충분히 먹구요^^ 저는 거의 1년간 모유수유하고 곧 어린이 집을 보낼 예정이라 젖을 떼고 있는데 젖물잠을 하다보니 특히 재울 때가 힘들더라구요.. 왜 젖물잠을 하지 말라고 하는지 이유를 몰랐는데.. 해보니 알겠네
아기 첫 책 추천!,['어스본 오디오북 제일 좋아해요일단 소리가 나야 관심을 갖더라구요\n개인적으로 두두 전집도 잘 볼 거 같아요 벌써 집중해서 본다니 잘 맞을 듯요 글밤 적당하고 그림체도 예뻐요 단계별로 스텝 맞춰서 보여주시기 좋을거예요\n사랑해사랑해사랑해 보드북세트\n빼뜨르호라체크 픽토리it 원서세트 or 알록달록 아기그림책(빼뜨르 한글버
4개월 수유.낮잠텀 어떻게 되시나요?,그때 저희 아가는 낮잠 4회 잤어요 새벽 수유 1회 있었구요 윗분 말대로 수유 중에 졸지 않게 해주셔야 하고요 깨시를 좀 더 늘려보세요
120일 아가 수유량이요!,우리애기랑 비슷하네요! 시간 지나면 정상으로 돌아온다니 기다려봐야겠어요!! 넘 늦게 답변해서 죄송해요 그리구 답변 넘감사합니다♡
맘님들 몇시에 일어나시나요?,6시에서7시 사이요.
8개월 아기 이제 첫니 나는데 불소 도포 언제 하나요?!,막상 치과 가시면 유치 모두 난 후에 권유하는 곳들이 많습니다. 불소도포가 간단할 것 같지만 어린 아기를 붙들고 하는 것도 쉽지 않고 울고불고 난리 나요. 바르는 걸로 끝이 아니라 치아 맹출 후에 전용 솔로 치태 후에 발라주거든요! 새로운 치아 맹출할 때마다 발라주지 않고 유치 20개 모두 난 후에 바르는 걸 추천드려요. 쌀알 올라왔을 때는 치과에서 해 줄 수 있는 게 아무것도 없
못걷는 아기 트니트니 힘들까요?,"트니트니는 잘 걸어야 하는거같아요. 네 걸어야해요. 트니트니는 체육수업이라 못걷거나 잘못걸으면 돈아까워요. 오감 수업은 없나요? 못 걸을때는 감각 수업이 좋더라고요. 네네. 저는 10개월부터 할수있는 트니트니였어서 그때부터 트니트니했었고, 잘 걷지 못해도 엄마랑 함께하기때문에 같이 아이와 해주시면되여. 잘걸으면 좋게5지만, 꼭"
돌잔치 준비..,저도요.. 저희 직계만 할거라서 소규모로 근처에 알아보다가 온파티노원계약했어여 시점이 6개월남아서 그나마 숙제조금해결한느낌이네요 맞아요 돌잔치 준비 쉽지 않더라구요 전 그래도 아직 기간이 남아서 장소만 호다닥 예약했어요ㅋㅋㅋ
200일 아기 배밀이를 안해요ㅠㅠ,아직 앉아있을 개월수가 아니에요 일부러 앉혀두는건 안해야해요 그시기때 애기들은 누워서 엎드려서 노는게 제일좋아요.
웅진북클럽 하시는 분 계세요?,아! 전 빨리 보여준 이유가 있어요. 17개월에 문장구성력이 좋았어요. 아이랑 수족관 다녀와서 관련 책 읽었는데 그럼 아이가 ' 어제 엄마랑 아빠랑 물고기 보러 갔잖아' 말 할 수 있었어요. 영어전집도 12갤부터 읽혀줬는데 그게 한계가 있어서 17개월에 슈퍼팟 하려고 패드 들였어요
뒤집기 하는 애기들 어케 재우고들 계시나여,"아기가 스스로 뒤집을 줄 아는 경우, 고개를 요리조리 돌려가며 잘 자는 것이 걱정되지 않는다고 합니다. 초기에는 걱정되어서 자는 애기의 배가 움직이는지, 콧김이 나오는지 확인하고 이불, 베개, 라라스 인형과 같은 것들을 모두 치워두었다고 합니다."
백일 넘은 아기 수유텀이 어떻게 되시나요?,120일 200미리 3시간반~4시간이요 넘 많이먹는것같네여 그치만 안먹고싶을땐 또 남기기도해요 분명 일주일전까진 160미리3시간텀이었는데.. 헉 저랑 똑같네용 울애기도 지금 131일째인데 80~170 씩 먹는데 먹는양이 일정하지 않고 항상 달라요 잘먹을땐 170도 먹고 못먹을땐 80씩 먹고.. 평균은 수유텀도 2~4시간
"[5개월] 수유량 적은 아기, 이유식 전 새벽수유끊기ㅠㅠ",이유식하면 새벽수유를 끊는게 아니고 이유식을 시작하게되면 보통은 분유만 먹는거보다 포만감이 더 느껴지니 자연스럽게 사라져요. 그럼 미리 끊을 필요는 없는거네요!? 네 그리고 너무 수유텀에 집착하지마세요 반응수유하는애들이 더 똑똑하게 큰다는 이야기도 있어요. 저희애도 입이 짧아서 억지로 아기띠하면서도 텀 늘려보려고했는데
새벽수유 언제쯤 끊을 수 있을까요?(6개월아가),막수를 평소보다 분유를 좀더 줘보세요 네!! 이유식하면 분유를 점점 줄이면서 해서!!!\n조금씩 조금씩 늘려서 자는시간도!\n막수 시간도 조금씩 조금씩 길게 다도록 한번 시도해보세요!!ㅠㅠ\n아이가 아직은 적응을 못해서 그럴거에요!!\n그시간 되면 밥먹는 시간인줄 알고 깨는듯해요!!\n쪽쪽이라도 물까요?
60일아기 피부색,아녀 손도 점점 까매집니당 울애기도 까만데 만나는 사람마다 벌써 휴가다녀오셨나고 이게 손색이 맞춰지는건가요 쟤 뱃속에서 태닝햇나봐요 아 웃프다 남자애라다행이에요 울애긴 얼굴만 하얗고 몸은 까매여 시간지나도 똑같아여 몸 피부색 친가쪽 유전인거같은데 얼굴색만 저 닮은 전 제가 신생아적에 잘못 씻겨서
7개월아기 다들 배밀이 하지요?,"저희 아기도 뒤집기, 되집기 다 빨랐는데 앞으로는 안가네요ㅠㅠ 곧 8개월 다 되가는데.. 위에 누나들이 늦게 걷고 언어도 늦게 트였어서 (물론 지금은 문제 없지만) 발달에 트라우마 있는지라.. 흑 ㅜㅜ 속상해요…. 내가 문제인가…."
닥터브라운 젖병 통기구 제거하고도 잘 쓰시나요?,신생아 졸업 후에도 분유가 새는 문제가 있으므로 통기구를 다시 끼는 것이 좋을 것 같습니다.
연년생 분들 유모차..,둥이휴대용유모차가 좋을듯해요 전 웨건있는데 접었다피는건 엄두가안나구요  밀고다니는것도 백화점처럼 실내에선 밀겠는데 길 고르지않은 보도블럭은 넘 힘들어요  그리고 둘중에 하나 잠들면 눕히지도못하고 여러모로 웨건보다 유모차가나은것같아요 아역시 실사용자 분의 후기를 들어야하는 이유가 이런거군요 웨건하
[6개월아기] 제 손목에 파스 괜찮을까요,손목 보호대 하면 좀 낫던데 꽉 조여주는걸로 사시면 돼요. 파스는 냄새때문에 안좋고 손목보호대가 최선이에요. 잘때만이라도 해야겠어요. 관리 필수죠! 조절식 보호대 추천드려요. 의사쌤한테 물어봤어는데 괜찮다고해서 손목파스하고 아대하고있어요 손목. 아 그럼 저도 파스에 아대를 해야겠어요.
저 영아연축이 걱정되서 혹시 잘 아시는분 계실까요?,저 영아연축 의심되어서 내일 대학병원에 진료보러 가기로 했어요. 저도 아직 잘 알지는 못하지만 증상 공유하시는건 어떠실까요?
7개월 아기 이유식 하루에 두번씩 먹나요?,이유식량 한끼에 120정도에 분유 3번은 140정도먹이고 자기전에 240먹이고 재워요.
아가들 머리에 땀이 많은가요?,9갤 저희딸도 뒷통수 땀 장난아니예요ㅠ 밥먹을때도 땀 잘때도 땀...\n땀과의 전쟁입니다ㅜ
10개월 아기 수면교육,"저희도 아가땐 눕히고 인사하고 나오면 혼자 잘 잤는데, 낯가림분리불안 생기는 시기 부터는 혼자두고 나가면 울더라구요ㅠ 그뒤로는 안아주진 않고 잠들때까지 옆에만 있어줘요 그럼 잠들고 몰래 나오시는거에요 저는 벤브와 드림빔으로 우주 영상이랑 백색소음 틀어주고 있어요 처음에는 울기도 하지만 조금 익숙해지면 잘 자더라고요 영상틀어줄땐"
140일 막수를 매일 자는거 깨워서 먹여도 되나요..?ㅠㅠㅠ,아기가 배고프면 깨겠죠? 매일 깨워서 먹였는데 오늘은 한번 둬 봐야겠어요.
아기 등 피부 좀 봐주세요,땀때문에 생긴 습진같아요 시원하게 해주시고 수딩젤이랑 로션이나 hpa 크림같은거 자주발라주세요 잘떄도 쿨소재로 깔아주시면 금방들어가요
가까운곳 외출할때 아기용품 준비물?!,그립감이 좋아서 손이 자주 가는 거 같아요
다들 돌잔치 하시나용,['저는 송도 쎄쎄쎄에서 해요! 통창뷰라 뷰도 이쁘고 홀도 이뻐요']
234일된 아기 눈 밑 피부가 왜 이럴까요?,바로 병원 가보셔요 네 ㅠㅜ
탈모대비하시나요...,비오틴이 모발 건강에 도움 많이 되는것 같아요. 저는 듀오랩 비오틴 먹어요 유산균이랑 같이 먹는건데 비오틴 흡수율 높게 만들어주는 역할을 한다네요
청각이 무척 예민한 남편과 둘째 계획 너무 고민되요,남편이 너무 힘들어한다면 저는 그만 도전할듯해요 애 둘 혼자보는게 쉽지 않아요
6개월 아기 이유식 몇번 먹이나요?,저는 애 초기땐 하루 두번 했었는데 60이뭐죠 애가 한번에 30도 채 먹지 못할때가 많았어요 시간이 지나고 중기로 넘어가면서 100넘게 먹긴했는데 이유식은 꾸준하고 끈기있게 해야되는거같아요..
아기 50일 촬영,저는 연계된곳 말고 제가 하고싶은 스튜디오 찾아서 찍어줬어요 원본도 다주고 좋았어요 50일때는 애기가 낯을 안가리니까 촬영이 금방 끝났어요 오히려 100일 사진을 첫번째 실패하고 두번만에 찍었어요
집안 장난감 소독 등 다 하시죠?ㅠ,저는 에티튜드 유아용소독제로 일주일에 한번정도하구있어요! 꽤 오래쓰고 유아용으로 나온거라 믿을만하더라규요
알레르기 라네요ㅠㅠ,알레르기는 그 반응일어나는 음식 섭취만 중단하면 빠르게 호전된다고 하시던데요. 음식 먹인 뒤 며칠 뒤에 일어나는 알러지 반응은 정말 책에서만 나오는 내용이라고... 보통은 섭취 후 3시간쯤 후에 올라온다고도 하셨어요. 혹시 모르니 다른 병원 한번 가보심이 좋을 것 같아요.
여름 기저귀 뭐 쓰세요?,['하기스 네메 썸머 쓰다가 페넬로페 아이스 씬씬씬이 더 얇다고 해서 넘어왔는데 얇고 부드러워서 좋아요!\n\n벗길 때 허리부분 뜯는건 하기스가 훨씬 편하긴한데 덜 두껍고 통기성이 좋은건지 시원해보이더라고요.\n\n얇아서 샐까봐 걱정했는데 밤에 통잠 자도 안 새서 좋은 것 같아요!']
아기 피부요 ㅠㅠ(미방 사진),"아기 피부가 지루성피부염인 것 같아요. 오일이나 로션을 사용해서 샴푸해주시거나 무스텔라 뉴본 샴푸를 사용해보세요. 수분을 유지하기 위해 미온수로 씻고, 아미노산이 들어간 보습 크림을 자주 바르는 것이 좋아요."
"8개월,.이유식 2번에서 3번으로 늘리기",저도 그래서 한끼는 오트밀 + 야채큐브 2-3개 + 과일퓨레 섞어줘요
5개월아기 잠투정+원더윅스 무섭네요ㅠ,['저 그맘때 딱 그랬어요 진짜 딱 밤이 오는게 무서워요. 이 또한 지나가리라 생각하시고 힘내세요!']
수족구 간지러워할때 어떻게 해줘야할까요?,['낼 당장 다시 병원 가야겠어요 감사합니다ㅠㅠ']
17개월 음식 간,아이껀 싱겁게하고 어른꺼는 추가로 간 더해요.
아기사경치료 너무 힘드네요ㅜ,"'고생 많으시네요 개월수가 그렇게 찬 아기도 집에서 스트레칭 하시나요? 100일부터 제가 감당이 안되던데 다행히 아기가 순해요 6-7갤까지는 스트레칭하는 자세로 잠들어서 30분내내 그자세 유지하면서 했는데, 이젠 울지않고했던자세도 하기싫은지 울어요 지인아이보니 돌에 딱 치료종결하드라구요~~ 진짜 공감돼요 아기가 덩어리가 만져지는 사경이었나요"
19개월아기 며칠째 잠들때 발버둥 울음 고민이예요 & 철분제 섭취 꼭 철분피검사 후 먹이시나요?,철분제 복용은 피검사 결과를 확인한 후 결정하는 것이 좋습니다. 아기의 생활이 어떤지 확인해보고 과피로나 덜피로로 인해 그럴 수도 있습니다. 잠들 때 발버둥을 부리는 것은 잠깐 지나가는 시기일 수 있습니다.
모유수유 아기 및 엄마 영양제 추천,철분제와 칼슘제는 수유 상관없이 꼭 섭취해야 합니다. 출혈이 있을 경우 철분제를 복용하는 것이 좋습니다.
돌 지났는데 자기전 우유 안먹여도 되는건가요?,우유는 간식개념이라 안줘요. 이제 막수 안먹고 자도 될 시기인거죠? 우유는 낮에 줘야겠네요.
혹시 엄마들 먹는 면역력 영양제 있으세요!?,프로폴리스 좋대서 먹고 있어요!
6개월아기 산책시 아기썬크림 발라줘야할까요?,6갤이상이면 슬슬발라주셔도 되요 워터나 패드로 지우고 로션이랑 hpa크림 발라서 보습해주시면서 피부에 맞나 보시면되요
유모차 구입 조언부탁드려요!(부가부 드래곤플라이),"저도 드래곤플라이 사용중이에요. 생각보다 100일전에 많이 안나가게 되더라구요. 어릴땐 아기띠 하고 가까운곳은 다녔고, 90일부터 유모차 태웠어요. 그전에 집에서 태우고 연습좀 시키구요. 그래서 배시넷은 고민하다가 안샀네요. 샀어도 3-4회 내외로 사용했을것 같아요. 만약 100일전에 유모차 탈일이 많을거라면 디럭스 렌탈 2개월정도 알아보"
아기 유모차 장난감 좀 추천해주세요,아기 유모차에 부착할 수 있는 유모차 모빌을 추천해요. 아이들이 즐겁게 놀 수 있는 모빌이에요.
감기가 원래 이렇게 오래가나요,기침 많이 하나요? 폐소리 안좋아졌으면 엑스레이 찍어보세요.
낮잠안자는아기ㅠㅠ,"밤잠은 잘있는데, 낮잠은 토끼잠에 연장 절대 안되서 카페에도 고민글 남기고 했는데, 97일쯤? 부터 낮잠 연장되는 횟수가 늘더니, 지금은(120일) 낮잠2는 2시간 정도 스스로 연장해서 자요!! 토끼잠ㅠㅠ진짜 공감되요.. 저한테도 그런날이 오긴하겠죠..? 낮잠 때문에 매일이 울고불고 전쟁이예요.. 매일 울리는거 같아 너"
8개월아기 수박이요~~!!,먹여도 됩니다
내일 조리원 퇴소하고 집에 가요,잘하실수있으실거예요 화이팅입니다!
자궁과 배 언제들어가나요,5개월이시면 자궁아니고 본인 배입니다.
이유식 정보 어디서 얻나여?,저는 튼이이유식에 있는 식단 그대로 다따라했어요 ㅎㅎ 저는 책이 보기편했어요 튼이이유식 참고할게요 감사합니다^^ 저는 튼이 저자가 새로 쓴 뿐이 샀어요!ㅋㅋㅋㅋ
이유식냄비 다들 모사셨어요?,이유식 냄비는 확실히 세라믹이 낫더라고요. 미니멀리빙 냄비세트 쓰고 있는데 가볍고 괜찮더라고요.
알레르기인가요?ㅠㅠㅠㅠ,금요일부터 이랬으면 진작에 소아과 런 했을 것 같은데요 토욜아침이라 예상은 금욜새벽부터 올라온거같아서요..접종맞고난뒤 일주일정더 뒤에 땀띠처럼 올라왓엇거든여 그생각이나서 저번에 처방받은 거잇어 발라줫엇어요... 이리 심하게된건 오늘 일어나니 저리심하게펴졋어요 저는 저런 적은 없지만 아기는 정말 면연력이 약
10갤 아가 유모차 조언 부탁드립니다,10갤이고 새 유모차 구입 예정이시면 무조건 휴대용이요 접고 펴기 편한지 무겁진 않은지 등등 만져보고 구입하셔요. 유모차는 아기가 고르는 거라고 생각해요. 남들이 아무리 좋다고 해도 아기가 거부하면 답이 없어요. 수도권이시면 날잡아서 곧 정식 오픈하는 용인 링크맘 쇼핑몰 한번 다녀오시면 좋을 것 같아요. 유모차 브랜드도 다양하게 들어와있고
자정이 넘어서 오늘이 딱 돌이네요 ㅎㅎ,첫번째 생일을 축하해 아가 감사합니다 생일축하합니다! 감사해요 일년동안 누구보다 고생많으셨어요 몽글몽글 감사합니다
너무 늦게 자는 아기...,아기\n스케줄 어케되나여? 9-10시에 자고 7-9시에 일어나요~!원래그쯤7시에 자서 8시에 일어낫는데 어린이집다니고 선생님이 너무 일찍잔다고 더 늦게재우래서 8시에\n자면 7~8시에 일어나요. 항상 같은시간대에 불다끄고 집전체소등이요. 8시에 재웠어요 아침 7시 30분 기상입니다. 낮잠시간은 몇시부터 몇시까지자고 아침에 몇시에일어나나요? 낮
6개월 아기 하루일과 궁금해요!,총량이 좀 적은거같아요 저희아가 200일 좀 안되었을때 분유 총 4회 800~1000 이유식 1~2회 총 150 정도 먹였어요 분유 1회량이 200은 넘었나봐요 저희 애기는 많이 먹어야 180 이고 평균적으로 140~150되더라구요 총량이 적어서 새벽수유가 한번 더 들어가나봐요 낮수유를 늘려봐야겠네요 6개월에 새벽수유는
출산한지 9개월.. 곧 10개월 몸망가진거 같아여,"출산 후 몸이 망가지는 것은 정상적인 현상이에요. 독박 육아로 인해 힘들어하시는 것 같은데, 잠깐 시간을 내서 도수치료를 받아보시는 것도 좋을 것 같아요. 면역력도 중요하니 조심하세요."
돌잔치 시식하고 왔어요~,"['저도 돌잔치 준비로 엄청 머리 싸매다가 구로 파티수 예약했는데, 깨끗하고 쾌적하고 단독 전체대관도 가능해서 프라이빗 하니 좋더라구요\n오 저도 머리싸매다가 구로 파티수했어요 ㅎㅎ양천구 강서 구로쪽 살면 여기가 제일좋은거같더라구요\n사전답사 하다 고르골라 여기로했네요! 다들 준비잘하세요^^']"
모유수유.. 어렵군요ㅋㅋ,'강도는 무조건 약하게 하세요 세게하면 사출이 심해져 직수할때 아기가 힘들어요 강도조절해도 나오는 양은 큰 차이 없어요!'
90일아기 갑자기 용쓰기?,배앓이인지.. 아님 장중첩증증상인지..원래 변을 2틀에 한번아주마니하는데. 요새는 매일 양을적게싸는데 아기가 힘주는만큼 나오지않는것같아요... 비슷한상황겪으신분있나요 ㅠ
11개월 아기 낮잠 텀 봐주세요ㅜㅜ,깨시가 늘면 낮잠 1회가 된다고 했어요; 10개월 아기 아직 2회 자고 있는데 낮잠 변환기 언젠가 오겠죠? ㅠㅠ 저도 비슷한 고민으로 글 남겼었는데 그때 답변주신분들 글 참조하시면 도움이될 거에요.. 전 애기를 좀 일찍 깨우는 방법을 쓰고 또 낮엔 햇빛보고 외출해서 좀 새로운 것 보게하고 기운을 빼려고 해요.. 가끔 늦게잘 때
15갤아기 몇시자나요?,"일곱시 반8시 반에 기상에 얼집 다니고 있고 얼집에서 두시간반 낮잠자고 하원 후 집에와서 여덟시 전 후로 자요 저희 두찌는 지금 14갤인데 낮잠한번자요ㅎ 8시반에서 9시에 사이에 밤잠자요ㅎ 전 늦게 일어나서 요즘 밤잠시간밀리나봐요, 8시반전쯤 일어나거든요^^ 아하그러시군요ㅎㅎ전 연년생이다보니 같이 재우는데 누나보다 일찍 자더라구요ㅎ"
고집 생기나봐요,고집이 생기는 것은 아이의 자아가 발달하고 있는 것을 나타낼 수 있습니다.
어린이집 신발이 바뀔수도 있을까요?,['그러게요 달라보이긴 하네요 그래서 저는 아이들 모든신발에 깔창에 보이게 의류용네임스티커 붙여놔요 얼집에 신발 비슷한거 많더라구요 월요일에 선생님께 한번 여쭤보시는게 좋을 듯 해요 너무 예민맘이 될까봐 조심스러운데 한번 물어보기는 해볼까봐요 댓글 감사해용 3개월 되면 그럴수도잇을것 같아요 한쪽만 끌면서 신으면?? 근
"수족구 4일차인데, 오늘 아침부터 맑은콧물과 기침",맑은콧물이면 감기 의심될 것 같아요 수족구랑 별개로 감기도 같이 걸리기도 하더라구요
8개월 아기 이갈아요,저희 아기도 8개월부터 위 아래 나니까 갈더라구요 신기해서 장난치는거 같아요 그러다 만다고는 하는데 보일때는 자제 시키고 있어요
쿨매트 꼭 필요한가요~?,쿨매트 너무 필요하다고 생각해요ㅠㅠ 안 그럼 한 여름에 피부 올라와서 고생 장난아니라ㅠ 그래서 저흰 도노도노 쿨매트 깔아주니 훨씬 좋아요!
출장 산후마사지 다인맘스케어 솔직 후기,'계약후기만있고 직접 마사지 받아본 후기를 찾고있었는데~잘보고갑니당'
"돌 전에 지인이 치즈 안먹이냐고 그래서,,,8개월쯤 슬라이드 치즈 사서 먹였었는데,,","아기용 치즈 간식으로 먹이긴 했는데 말 그대로 간식이지 필수까진 아니지 않을까요....흠... 그러니깐요, 근데 대충 알아보면 필수로 먹여야되는 것 처럼 알려져있는 것 같아요..."
힙프레먹이시던분 2단계는 뭐 먹였나요~?,2단계 무전분으로 가시면 됩니당!
24년 5월생 부모급여,출생아들 부모급여는 10일기준으로 정리하더라그요. 다음달에 소급되서 두달치나와요.
신생아 에어컨사용,에어컨 필수예요 직접적으로 바람 쏘이지만 않으면 괜찮아요^^
"10개월 아기 예민+ 잠투정 최고일때, 조언해주세요😭",저희아가도 다 좋은데 잠이 문제에여 너무 자주 깨서 8개월 아가인데 아직 새벽수유해요
셋째도 젖병거부 ㅜㅜ,힘내세요! 어려운 상황이지만 극복하실 수 있을 거예요. 아가를 보면서 힘내세요!
너무너무 궁굼해서 물어봅니다~~~~,아동수당은 10만원으로 동일하고 부모급여에서 가정보육이냐 아니냐로 금액 차이나는 걸로 알아요.
남자애들이 반응이 좀 없나요?,아기마다 성격이 달라서겠지만 저희 애긴 좀 그런 것 같아요. 그러다가도 갑자기 잘 웃고 반응하고 그럴 거에요. 맘님 너무 걱정 마세요. 반면 저희 아기는 하루에 98.8%를 웃고 지내서 오히려 걱정이 더 드네요. 자랑은 아니고 심오하게 걱정한 적도 있어요. 생긴 것도 딸이냐는 소리 많이 들어서 애교도 많고 매일 웃어서 전 오히려 이걸로 걱정했어
+19) 도와주세유ㅠㅠ 콧물 기침,"아직 19일차라면 감기인지 확신할 수 없으니, 숨쉬는 걸 힘들어하면 병원에 가보는 것이 좋을 것 같아요. 온습도를 조절하는 것도 중요하지만, 아이의 상태를 확인하기 위해 의사에게 상담하는 것이 좋을 것 같아요."
9개월 아기 낮잠,오전 두시간 오후 한시간정도였어요 1번은 10개월이후였던거같기도하네요 근데 지금14갤인데 오전에 재우면 오후에 두번자고 오전에 안재우면 오후에 한번자네요
돌 지나고 걸어다니기 시작하면 신발…몇개정도 사서 신기시나요?,운동화나 구두 스타일 같은 신발은 백화점이나 트래드후스 매장에서 구매하는 것이 좋습니다. 애기들의 신발은 계절별로 3개씩 구비하고 돌려 신는 것이 좋습니다. 신발 사이즈를 선택할 때는 가볍고 볼이 넓고 푠한 것을 선택하는 것이 좋습니다. 반스나 나이키 신발이 애들이 신기 좋다고 합니다.
아기 부정교합..?,애기땐 다 그래서 어금니 다 나고 보는게 좋대요 부정교합은 아직은 판단하기엔 이른듯해요 영유아구강검진 다니시면서 지켜보시는게 좋을듯여
일본뇌염 생백신 사백신 뭐로 하셨나요?,사백신 했어요
아기들 컵 사용 언제부터 하나요.?(+와우컵),['릿첼 컵 빨대없이 사용하다 지금 일반컵 사용하고있어요\n머그컵이나 아무컵 줘도 잘마셔요\n연습하면 금방 컵사용 하더라고요']
14개월아가들 알려주세요!,저희 아가도 설거지 하거나 요리할때 계속 안아달라고 하더라구요! 뭐하는지 궁금해서 그런거 같기도 해요! 아빠오면 아빠한테만 붙어 있어요 ㅎㅎㅎ 똑같네요!!! 간단히 데우는정도도 못하게하니 매번 안고하는게 힘들더라구요 ㅋㅋ 주방 좁지만 러닝타워 하나 들일까 생각중이예요 ㅎㅎㅎ 오저도 그거 고민해봐야겠어요 ! ㅎㅎ
8개월아기 안자려고해요,"8개월 아기가 잠을 잘 안자는 이유는 분리불안, 잠퇴행, 이앓이의 콤보 시기일 수 있습니다. 이를 이겨내기 위해서는 아기를 지켜보며 이해하고 따뜻하게 대해주는 것이 중요합니다. 이유를 찾아보고 힘내세요."
돌쟁이 엄지 손빨기,"저희 아들도 두돌까지 잠들때, 잠에서 깰때 손빠는 버릇 못고쳐서 손이 터서 피도 나고 했었는데요 소아과 샘도 좀 크면 알아거 안빨게 된다길랴 기다렸는데요 두돌 딱 지나면서 말귀 다 알아먹고 소통되니까 손빨면 주사맞아여한다 도깨비 아저씨가 데려간다 말해주니 의식적으로 절대 안빨더라구요 두돌 전에는 손에 상처"
돌지난 아기 밤잠문제 ㅜㅜ,'제가쓴줄알았어요 저도이래요....딱 그래요.... 낮에도 엄마껌딱지에요 엄마좀 살려주라 아가들아 지금도 같이누워서재우고 나온지 이십분만에 또울어서 다시 옆에 누워있네요 언제 혼자잘자련지...'
6개월 아기,"아기의 낮잠이 6개월 때는 주로 3시간에서 4시간 사이가 적당합니다. 밤잠까지 깨는 경우는 개인차가 있지만, 최소 3시간 이상 자는 것이 좋습니다."
8개월 아기 소고기로 특식을 해먹이고싶은데..,"8개월 아기가 아플 때는 소고기를 푹 끓여서 잘게 갈아서 죽으로 먹이는 것이 좋습니다. 단백질이나 지방이 많은 음식은 피해야 합니다. 갈비를 좋아하는 아이라면 간장을 약간 넣어서 구이로 준비해도 좋을 것 같습니다. 부드러운 음식이 좋을텐데, 곰국에 소면이나 무를 넣거나 갈비살을 활용해 탕을 만들어도 좋을 것 같습니다."
아기 밤잠이요,첫끼는 7시30분에 먹고 낮잠을 두 번 자고 밤잠은 6시30분에 자면 좋겠어요
용띠맘 소통 하실분~,카카오톡 단체방 만들어서 소통하고 싶습니당
이유식 후 피부,네네 조언 감사합니다 다 해볼게요ㅠㅠ
6개월인데 새벽수유... 아직도 두번해요....,['울어도 걍 두셔야 되요 ㅠ 6개월이면 사실 새벽수유 끊을 시기라\n새벽수유 하니 낮에 먹는양이 줄어드는거구요 ㅠ\n전 걍 쪽쪽이로 달랬었네용\n그쯤 새벽수유는 습관이라했어요 쪽쪽이로 안달래져서 말이죠ㅠㅠㅠ 새벽수유 진짜 습관인거 같아요.\n지금 8개월인데 7개월되니까 이가나서 새벽수유
